Date,Price,Open,High,Low,Vol.,Change %
07/22/2024,6712.05,6756.76,6832.66,6712.05,109.44K,-1.17%
07/19/2024,6791.69,6707.45,6829.97,6707.45,121.78K,1.29%
07/18/2024,6705.01,6663.65,6706.20,6649.93,93.15K,0.26%
07/17/2024,6687.71,6677.85,6700.18,6629.51,78.93K,0.31%
07/16/2024,6667.09,6723.21,6736.81,6667.09,85.74K,-0.33%
07/15/2024,6689.37,6635.27,6738.12,6635.27,85.78K,0.62%
07/12/2024,6648.23,6611.39,6648.23,6589.59,68.11K,0.59%
07/11/2024,6609.24,6492.46,6609.24,6492.46,90.66K,1.85%
07/10/2024,6489.35,6550.05,6561.71,6489.35,80.94K,-1.03%
07/09/2024,6556.66,6530.05,6557.32,6497.53,78.80K,0.42%
07/08/2024,6529.43,6506.42,6559.38,6506.42,94.36K,0.56%
07/05/2024,6492.75,6507.28,6560.20,6492.75,82.02K,-0.23%
07/04/2024,6507.49,6447.29,6517.64,6437.58,70.13K,0.89%
07/03/2024,6450.03,6366.58,6451.94,6355.71,71.71K,1.43%
07/02/2024,6358.96,6399.37,6399.37,6348.06,64.04K,-0.62%
07/01/2024,6398.77,6401.96,6436.40,6382.25,71.78K,-0.20%
06/28/2024,6411.91,6394.73,6442.79,6387.68,123.11K,0.33%
06/27/2024,6390.58,6314.84,6390.58,6301.84,69.14K,1.23%
06/26/2024,6313.11,6308.57,6313.11,6277.86,113.53K,0.22%
06/25/2024,6299.05,6291.09,6307.51,6281.67,84.76K,0.42%
06/24/2024,6272.46,6202.64,6272.46,6184.72,81.79K,1.85%
06/21/2024,6158.48,6349.67,6349.67,6158.48,168.16K,-2.93%
06/20/2024,6344.56,6372.46,6372.75,6313.15,85.00K,-0.34%
06/19/2024,6366.03,6371.52,6382.76,6364.40,101.41K,-0.04%
06/18/2024,6368.80,6394.33,6394.33,6343.69,60.30K,-0.23%
06/14/2024,6383.70,6394.43,6400.34,6370.68,68.39K,-0.11%
06/13/2024,6390.83,6428.28,6446.06,6390.83,76.80K,-0.30%
06/11/2024,6410.07,6456.85,6464.26,6410.07,55.01K,-0.75%
06/10/2024,6458.64,6511.89,6511.89,6443.52,45.72K,-0.92%
06/07/2024,6518.76,6524.36,6532.93,6512.05,62.72K,0.14%
06/06/2024,6509.86,6465.13,6511.73,6453.49,80.25K,1.06%
06/05/2024,6441.32,6400.46,6443.59,6367.73,73.10K,0.86%
06/04/2024,6386.42,6498.56,6498.56,6351.19,85.19K,-1.30%
06/03/2024,6470.74,6433.54,6472.52,6410.48,96.30K,0.59%
05/31/2024,6433.10,6387.89,6433.10,6356.52,606.50K,0.96%
05/30/2024,6371.75,6410.39,6415.61,6341.54,111.68K,-0.62%
05/29/2024,6411.41,6506.40,6506.40,6411.41,89.53K,-1.38%
05/28/2024,6501.34,6572.96,6572.96,6495.99,110.94K,-1.07%
05/27/2024,6571.60,6630.22,6630.22,6552.30,98.64K,-0.73%
05/24/2024,6619.89,6634.61,6634.61,6587.05,68.40K,-0.60%
05/23/2024,6659.99,6612.09,6659.99,6606.37,94.91K,0.80%
05/22/2024,6607.22,6606.80,6620.56,6578.58,87.18K,-0.40%
05/21/2024,6633.66,6704.14,6704.14,6614.51,124.24K,-0.74%
05/20/2024,6682.78,6633.59,6703.00,6617.58,117.90K,0.97%
05/17/2024,6618.69,6619.51,6649.61,6578.26,112.11K,-0.14%
05/16/2024,6628.20,6589.24,6628.20,6579.74,251.04K,1.06%
05/15/2024,6558.63,6578.65,6578.65,6547.71,156.46K,-0.75%
05/14/2024,6608.36,6601.93,6608.36,6587.89,80.92K,0.06%
05/13/2024,6604.25,6523.88,6612.73,6523.88,72.54K,1.42%
05/10/2024,6511.93,6574.22,6598.93,6511.93,59.71K,-0.47%
05/09/2024,6542.46,6670.85,6719.19,6536.25,171.67K,-1.75%
05/08/2024,6659.18,6620.35,6659.18,6571.62,108.95K,0.61%
05/07/2024,6618.58,6668.24,6691.68,6618.58,106.39K,-0.51%
05/06/2024,6652.49,6639.27,6683.71,6639.27,65.39K,0.56%
05/03/2024,6615.55,6664.49,6666.05,6604.51,83.23K,-0.47%
05/02/2024,6646.55,6654.97,6679.50,6634.84,80.53K,-0.81%
04/30/2024,6700.49,6756.32,6777.27,6700.49,95.59K,-1.02%
04/29/2024,6769.64,6629.57,6769.64,6629.57,107.64K,2.13%
04/26/2024,6628.75,6557.95,6628.75,6547.76,58.46K,0.82%
04/25/2024,6574.88,6598.14,6598.14,6574.88,53.87K,0.03%
